Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Native Status,Invasive
ALMA11,ALCR14,Alocasia crassifolia,,,
ALMA11,ALIN10,Alocasia indica,,,
ALMA11,ALMA17,Alocasia macrorrhiza,,,
ALMA11,ARIN21,Arum indicum,,,
ALMA11,COIN13,Colocasia indica,,,
ALVE2,,Aloe vera,"USA+(PR, VI), USA(FL, HI, TX)",L48(I)HI(I)PR(I)VI(I),
ALVE2,ALBA,Aloe barbadensis,,,
ALVE2,ALPEV,Aloe perfoliata var. vera,,,
ALVE2,ALVU3,Aloe vulgaris,,,
ALBI7,,Aloina bifrons,,NA(N),
ALBI7,ALPI,Aloina pilifera,,,
ALBI7,ALRIP,Aloina rigida var. pilifera,,,
ALAEA,,Alopecurus aequalis var. aequalis,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, TN, UT, VA, VT, WA, WI, WY)",L48(N)AK(N)CAN(N)GL(N),
ALAEA,ALAEN,Alopecurus aequalis var. natans,,,
ALAEA,ALAR5,Alopecurus aristulatus,,,
ALAEA,ALGEA,Alopecurus geniculatus var. aristulatus,,,
ALAR,,Alopecurus arundinaceus,"CAN(AB, MB, NF, NT), USA(AZ, CO, ID, KY, MT, ND, NE, SD, UT, WA, WY)",L48(I)CAN(W),
ALAR,ALVE,Alopecurus ventricosus,,,
ALCA4,,Alopecurus carolinianus,"CAN(AB, BC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",L48(N)CAN(N),SWSS
ALCA4,ALMA15,Alopecurus macounii,,,
ALCA4,ALRA4,Alopecurus ramosus,,,
ALGEG4,,Alopecurus geniculatus var. geniculatus,"CAN(AB, BC, LB, NB, NF, NS, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DC, IA, ID, IL, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TX, UT, VA, VT, WA, WI, WV, WY)",L48(I)AK(I)CAN(I)GL(I)SPM(I),
ALGEG4,ALPA9,Alopecurus pallescens,,,
ALMA8,,Alopecurus magellanicus,"CAN(AB, BC, LB, MB, NT, NU, ON, QC, SK, YT), DEN(GL), USA(AK, CO, ID, MT, UT, WY)",L48(N)AK(N)CAN(N)GL(N),
ALMA8,ALAL2,Alopecurus alpinus,,,
ALMA8,ALALB,Alopecurus alpinus var. borealis,,,
ALMA8,ALALG,Alopecurus alpinus ssp. glaucus,,,
ALMA8,ALALG2,Alopecurus alpinus var. glaucus,,,
ALMA8,ALALO,Alopecurus alpinus var. occidentalis,,,
ALMA8,ALALS,Alopecurus alpinus ssp. stejnegeri,,,
ALMA8,ALALS2,Alopecurus alpinus var. stejnegeri,,,
ALMA8,ALBO6,Alopecurus borealis,,,
ALMA8,ALGL8,Alopecurus glaucus,,,
ALMA8,ALOC7,Alopecurus occidentalis,,,
ALMY,,Alopecurus myosuroides,"CAN(MB), USA(AL, CA, DC, DE, KS, KY, LA, MA, MD, ME, MI, MS, NC, NJ, NM, NY, OH, OR, PA, RI, SC, TX, VA, WA, WV)",L48(I)CAN(I),"STATE, WSWS"
ALMY,ALAG,Alopecurus agrestis,,,
ALSA3,,Alopecurus saccatus,"USA(CA, ID, OR, WA)",L48(N),
ALSA3,ALHO3,Alopecurus howellii,,,
ALDR2,,Alophia drummondii,"USA(AR, LA, MS, OK, TX)",L48(N),
ALDR2,CYDR,Cypella drummondii,,,
ALDR2,EUPU6,Eustylis purpurea,,,
ALDR2,HEDR5,Herbertia drummondii,,,
ALDR2,NEPU5,Nemastylis purpurea,,,
ALDR2,TIPU3,Tigridia purpurea,,,
ALGRG,,Aloysia gratissima var. gratissima,"USA(NM, TX)",L48(N),
ALGRG,ALLI4,Aloysia ligustrina,,,
ALGRG,ALLY2,Aloysia lycioides,,,
ALGRG,LILI9,Lippia ligustrina,,,
ALGRG,LILY,Lippia lycioides,,,
ALTR6,,Aloysia triphylla,"USA+(PR), USA(CA, GA, NC)",L48(I)PR(I),
ALTR6,ALCI,Aloysia citriodora,,,
ALTR6,ALCI4,Aloysia citrodora,,,
ALTR6,LICI2,Lippia citriodora,,,
ALTR6,LICI3,Lippia citrodora,,,
ALTR6,LITR7,Lippia triphylla,,,
ALWR,,Aloysia wrightii,"USA(AZ, CA, NM, NV, TX, UT)",L48(N),
ALWR,LIWR2,Lippia wrightii,,,
ALGA2,,Alpinia galanga,,,
ALGA2,LAGA5,Languas galanga,,,
ALOF4,,Alpinia officinarum,,,
ALOF4,LAOF,Languas officinarum,,,
ALZE,,Alpinia zerumbet,"USA+(PR, VI), USA(FL, HI, PW)",L48(I)HI(I)PR(I)VI(I),
ALZE,ALNU3,Alpinia nutans,,,
ALZE,ALSP,Alpinia speciosa,,,
ALZE,CASP15,Catimbium speciosum,,,
ALZE,LASP7,Languas speciosa,,,
ALLY3,,Alsinidendron lychnoides,USA(HI),HI(N),
ALLY3,SCLY,Schiedea lychnoides,,,
ALOB4,,Alsinidendron obovatum,USA(HI),HI(N),
ALOB4,ALOBP,Alsinidendron obovatum var. parvifolium,,,
ALOB4,SCOB6,Schiedea obovata,,,
ALTR5,,Alsinidendron trinerve,USA(HI),HI(N),
ALTR5,SCTR9,Schiedea trinervis,,,
ALVI6,,Alsinidendron viscosum,USA(HI),HI(N),
ALVI6,SCVI2,Schiedea viscosa,,,
ALVI6,SCVIL,Schiedea viscosa var. laevis,,,
ALAM5,,Alsophila amintae,USA+(PR),PR(N),
ALAM5,ALDR3,Alsophila dryopteroides,,,
ALAM5,CYDR2,Cyathea dryopteroides,,,
ALBR3,,Alsophila brooksii,USA+(PR),PR(N),
ALBR3,CYBR7,Cyathea brooksii,,,
ALBR4,,Alsophila bryophila,USA+(PR),PR(N),
ALBR4,CYBR10,Cyathea bryophila,,,
ALBR4,CYPU14,Cyathea pubescens,,,
ALPO7,,Alsophila portoricensis,USA+(PR),PR(N),
ALPO7,CYPO6,Cyathea portoricensis,,,
ALPO7,NEPO2,Nephelea portoricensis,,,
ALAU6,,Alstroemeria aurea,,,
ALAU6,ALAU5,Alstroemeria aurantiaca,,,
ALBE,,Alternanthera bettzichiana,"USA+(PR, VI), USA(CA, FL, HI, MD, TX)",L48(I)HI(I)PR(I)VI(I),
ALBE,ACBE3,Achyranthes bettzichiana,,,
ALBE,ACFIB,Achyranthes ficoidea ssp. bettzichiana,,,
ALBE,ALAM11,Alternanthera amoena,,,
ALBE,ALTEV,Alternanthera tenella var. versicolor,,,
ALBR5,,Alternanthera brasiliana,"USA+(PR, VI), USA(FL, HI)",L48(I)HI(I)PR(I)VI(I),
ALBR5,ACBR2,Achyranthes brasiliana,,,
ALBR5,ALDE2,Alternanthera dentata,,,
ALBR5,ALJA,Alternanthera jacquinii,,,
ALBR5,GOBR3,Gomphrena brasiliana,,,
ALCA5,,Alternanthera caracasana,"USA+(PR, VI), USA(AL, AR, AZ, CA, FL, GA, HI, LA, MD, MO, MS, NC, NM, OK, SC, TX)",L48(I)HI(I)PR(N)VI(N),
ALCA5,ACPE3,Achyranthes peploides,,,
ALCA5,ALPE6,Alternanthera peploides,,,
ALCR8,,Alternanthera crucis,"USA+(PR, VI)",PR(N)VI(N),
ALCR8,ACPO5,Achyranthes portoricensis,,,
ALCR8,ALDO2,Alternanthera dolichocephala,,,
ALCR8,ALPO5,Alternanthera portoricensis,,,
ALEC2,,Alternanthera echinocephala,,,
ALEC2,ALME7,Alternanthera menziesii,,,
ALFI8,,Alternanthera ficoidea,"USA+(PR, VI), USA(FL, HI, MD, UM)",L48(I)HI(I)PR(N)VI(I),
ALFI8,ACFI2,Achyranthes ficoidea,,,
ALFI8,ALTE4,Alternanthera tenella,,,
ALFL,,Alternanthera flavescens,"USA+(PR, VI), USA(FL)",L48(N)PR(N)VI(N),
ALFL,ACRA2,Achyranthes ramosissima,,,
ALFL,ALFL4,Alternanthera floridana,,,
ALFL,ALRA3,Alternanthera ramosissima,,,
ALHA3,,Alternanthera hassleriana,,,
ALHA3,ALHA4,Alternanthera hasslerana,,,
ALMA10,,Alternanthera maritima,USA(FL),L48(N),
ALMA10,ACMA6,Achyranthes maritima,,,
ALPAP,,Alternanthera paronychioides var. paronychioides,"USA+(PR, VI), USA(AL, FL, GA, LA, MS, NC, NJ, PA, SC, TX)",L48(N)PR(N)VI(N),
ALPAP,ACPA4,Achyranthes paronychioides,,,
ALPAP,ALPO6,Alternanthera polygonoides,,,
ALPH,,Alternanthera philoxeroides,"USA+(PR), USA(AL, AR, CA, FL, GA, IL, KY, LA, MS, NC, OK, SC, TN, TX, VA)",L48(I)PR(I),"FLEPPC, SEEPPC, STATE, SWSS"
ALPH,ACPH,Achyranthes philoxeroides,,,
ALPU3,,Alternanthera pungens,"USA+(PR), USA(AL, FL, GA, HI, NY, SC, TX, VA)",L48(I)HI(I)PR(I),WSWS
ALPU3,ACLE5,Achyranthes leiantha,,,
ALPU3,ACRE5,Achyranthes repens,,,
ALPU3,ALAC6,Alternanthera achyrantha,,,
ALPU3,ALRE2,Alternanthera repens,,,
ALSE4,,Alternanthera sessilis,"USA+(PR, VI), USA(AL, AR, FL, GA, HI, LA, MD, MS, PW, SC, TX)",L48(I)HI(I)PR(N)VI(N),"STATE, US"
ALSE4,ACSE4,Achyranthes sessilis,,,
ALSE4,ALGL11,Alternanthera glabra,,,
ALSE4,GOSE2,Gomphrena sessilis,,,
ALUT3,,Alyssoides utriculata,,,
ALUT3,ALGR7,Alyssum graecum,,,
ALAL3,,Alyssum alyssoides,"CAN(AB, BC, MB, NF, ON, QC, SK), USA(AR, CA, CO, CT, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NE, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",L48(I)CAN(I),WSWS
ALAL3,ALCA11,Alyssum calycinum,,,
ALAL3,CLAL10,Clypeola alyssoides,,,
ALDED,,Alyssum desertorum var. desertorum,"CAN(AB, BC, MB, SK), USA(CO, ID, KS, MO, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY)",L48(I)CAN(I),
ALDED,ALTU2,Alyssum turkestanicum,,,
ALER,,Alyssum erosulum,,,
ALER,ALSU7,Alyssum suffrutescens,,,
ALLE6,,Alyssum lenense,,,
ALLE6,ALAL14,Alyssum altaicum,,,
ALOB5,,Alyssum obovatum,"CAN(NT, YT), USA(AK)",AK(N)CAN(N)NA(N),
ALOB5,ALAM4,Alyssum americanum,,,
ALSI8,,Alyssum simplex,"USA(CA, CO, KS, MT, NE, NM, NV, OR, UT, WY)",L48(I),
ALSI8,ALMI2,Alyssum minus,,,
ALSI8,ALMIM,Alyssum minus var. micranthum,,,
ALSI8,ALPA7,Alyssum parviflorum,,,
ALSI8,ALPAM,Alyssum parviflorum var. micranthum,,,
ALSI8,CLMI5,Clypeola minus,,,
ALST11,,Alyxia stellata,USA(HI),HI(N),
ALST11,ALOL2,Alyxia oliviformis,,,
ALST11,ALOLL,Alyxia oliviformis var. lanceolata,,,
ALST11,ALOLM,Alyxia oliviformis var. myrtillifolia,,,
ALST11,ALOLO,Alyxia oliviformis var. ovata,,,
AMCO17,,Amandinea coniops,,NA(N),
AMCO17,BUCO3,Buellia coniops,,,
AMDA,,Amandinea dakotensis,,NA(N),
AMDA,RIDA,Rinodina dakotensis,,,
AMDA,RIFI,Rinodina finkii,,,
AMDA,RIIN5,Rinodina inaequalis,,,
AMDA,RIPE4,Rinodina pennsylvanica,,,
AMDA,RIPY2,Rinodina pyriniformis,,,
AMDA,RISU5,Rinodina subplumbea,,,
AMLE3,,Amandinea leucomela,,NA(N),
AMLE3,BULE4,Buellia leucomela,,,
AMMI7,,Amandinea milliaria,,NA(N),
AMMI7,RIMI2,Rinodina milliaria,,,
AMPO8,,Amandinea polyspora,,NA(N),
AMPO8,BUPO2,Buellia polyspora,,,
AMPO8,BUPUP,Buellia punctata var. polyspora,,,
AMPU9,,Amandinea punctata,,NA(N),
AMPU9,BUMY,Buellia myriocarpa,,,
AMPU9,BUPU3,Buellia punctata,,,
AMPU9,BUPU6,Buellia pullata,,,
AMAC,,Amaranthus acanthochiton,"USA(AZ, NM, TX, UT)",L48(N),
AMAC,ACWR6,Acanthochiton wrightii,,,
AMAC6,,Amaranthus acutilobus,,,
AMAC6,EUEM2,Euxolus emarginatus,,,
AMAL,,Amaranthus albus,"CAN(AB, BC, LB, MB, NB, NS, ON, PE, QC, SK), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",L48(I)AK(I)CAN(W)SPM(W),"N'EAST, NE&GP, SWSS, WSWS"
AMAL,AMALP3,Amaranthus albus var. pubescens,,,
AMAL,AMGRP,Amaranthus graecizans var. pubescens,,,
AMAL,AMPU,Amaranthus pubescens,,,
AMAU,,Amaranthus australis,"USA+(PR), USA(AL, FL, LA, MS, NC, TN, TX, VA)",L48(N)PR(N),
AMAU,ACAL3,Acnida alabamensis,,,
AMAU,ACAU4,Acnida australis,,,
AMAU,ACCU3,Acnida cuspidata,,,
AMBL,,Amaranthus blitoides,"CAN(AB, BC, MB, ON, QC, SK), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",L48(I)AK(I)CAN(I),"N'EAST, NE&GP, SWSS, WSWS"
AMBL,AMGR,Amaranthus graecizans,,,
AMBLB,,Amaranthus blitum var. blitum,USA(NY),L48(I)HI(I),
AMBLB,AMAS,Amaranthus ascendens,,,
AMBLB,AMVI6,Amaranthus viridis,,,
AMBLE2,,Amaranthus blitum var. emarginatus,"CAN(NS, ON, QC), USA+(PR), USA(AL, CA, CT, FL, GA, HI, LA, MA, MD, NC, NH, NJ, NY, OH, PA, SC, TN, UM, UT, VA, WA)",L48(I)HI(I)PR(I)CAN(I),
AMBLE2,AMBLE,Amaranthus blitum ssp. emarginatus,,,
AMBLE2,AMLI,Amaranthus lividus,,,
AMCA,,Amaranthus californicus,"CAN(AB, SK), USA(CA, ID, KS, MT, NE, NV, OR, SD, TX, UT, WA, WY)",L48(N)CAN(N),
AMCA,AMAL4,Amaranthus albomarginatus,,,
AMCA,AMMI5,Amaranthus microphyllus,,,
AMCA2,,Amaranthus cannabinus,"USA(AL, CT, DC, DE, FL, GA, LA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA)",L48(N),
AMCA2,ACCA11,Acnida cannabina,,,
AMCA3,,Amaranthus caudatus,"USA+(PR), USA(AZ, CA, CT, DE, FL, ID, IL, KS, KY, MA, ME, MI, MN, MO, MT, NY, OR, PA, TN, VA, VT, WA, WI)",L48(I)PR(I),
AMCA3,AMED,Amaranthus edulis,,,
AMCR4,,Amaranthus cruentus,"CAN(BC, ON, QC), USA+(PR), USA(AL, AZ, CA, CT, DC, DE, HI, IL, IN, KY, MA, MD, ME, MI, MO, NC, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SC, TX, UT, VA, VT, WA, WI, WV)",L48(I)HI(I)PR(I)CAN(I),
AMCR4,AMHYC,Amaranthus hybridus ssp. cruentus,,,
AMCR4,AMHYC2,Amaranthus hybridus var. cruentus,,,
AMCR4,AMPA10,Amaranthus paniculatus,,,
AMFL3,,Amaranthus floridanus,USA(FL),L48(N),
AMFL3,ACFL2,Acnida floridana,,,
AMGR2,,Amaranthus greggii,"USA(LA, TX)",L48(N),
AMGR2,AMAN,Amaranthus annectens,,,
AMGR2,AMMY,Amaranthus myrianthus,,,
AMHY,,Amaranthus hybridus,"CAN(MB, NS, ON, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, VA, VT, WA, WI, WV)",L48(N)HI(I)CAN(I),"KY, N'EAST, SWSS"
AMHY,AMCH7,Amaranthus chlorostachys,,,
AMHY,AMIN6,Amaranthus incurvatus,,,
AMHY,AMPA11,Amaranthus patulus,,,
AMHY2,,Amaranthus hypochondriacus,"USA(AZ, CA, FL, KS, MA, MI, MN, MO, MS, NE, NM, NY, PA, TX, UT, WI)",L48(I),
AMHY2,AMHYH,Amaranthus hybridus ssp. hypochondriacus,,,
AMHY2,AMLE2,Amaranthus leucocarpus,,,
AMPO,,Amaranthus polygonoides,"USA+(VI), USA(FL, NM, SC, TX)",L48(N)VI(I),
AMPO,AMBE,Amaranthus berlandieri,,,
AMPO,AMPOB,Amaranthus polygonoides ssp. berlandieri,,,
AMPOB2,,Amaranthus powellii ssp. bouchonii,"USA(CA, MT, OR, PA, WA)",L48(N),
AMPOB2,AMBO,Amaranthus bouchonii,,,
AMPOP,,Amaranthus powellii ssp. powellii,"CAN(AB, BC, ON, PE, QC, SK), USA(AR, AZ, CA, CO, CT, FL, IA, ID, IL, IN, KS, LA, MA, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TX, UT, VA, VT, WA, WI, WV, WY)",L48(N)CAN(N),
AMPOP,AMBR4,Amaranthus bracteosus,,,
AMPOP,AMREP,Amaranthus retroflexus var. powellii,,,
AMPOP,AMVI4,Amaranthus viscidulus,,,
AMTR2,,Amaranthus tricolor,"USA+(PR, VI), USA(LA, MI, MO, MS, UM)",L48(I)PR(I)VI(I),
AMTR2,AMGA,Amaranthus gangeticus,,,
AMTU,,Amaranthus tuberculatus,"CAN(MB, ON, QC), USA(AL, AR, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, VT, WA, WI, WV)",L48(N)CAN(N),SWSS
AMTU,ACAL5,Acnida altissima,,,
AMTU,ACALP,Acnida altissima var. prostrata,,,
AMTU,ACALS,Acnida altissima var. subnuda,,,
AMTU,ACCO8,Acnida concatenata,,,
AMTU,ACSU,Acnida subnuda,,,
AMTU,ACTA,Acnida tamariscina,,,
AMTU,ACTAP,Acnida tamariscina var. prostrata,,,
AMTU,ACTU,Acnida tuberculata,,,
AMTU,AMAL5,Amaranthus altissimus,,,
AMTU,AMAM7,Amaranthus ambigens,,,
AMTU,AMRU,Amaranthus rudis,,,NE&GP
AMTU,AMTA3,Amaranthus tamariscinus,,,
AMTU,AMTUP,Amaranthus tuberculatus var. prostratus,,,
AMTU,AMTUS,Amaranthus tuberculatus var. subnudus,,,
AMVI,,Amaranthus viridis,"USA+(VI), USA(AL, AR, AZ, FL, GA, HI, LA, MA, MI, MS, NAV, NC, NM, NY, OK, PA, PW, SC, TN, TX, UM, VA)",L48(N)HI(I)VI(N),
AMVI,AMGR10,Amaranthus gracilis,,,SWSS
AMVI,AMVI5,Amaranthus viridus,,,
AMWA,,Amaranthus watsonii,"USA(AZ, CA)",L48(N),
AMWA,AMTO,Amaranthus torreyi,,,
AMMO,,Amberboa moschata,"USA(CA, IA, IL, IN, ME, UT)",L48(I),
AMMO,CEMO3,Centaurea moschata,,,
AMSE,,Amblyolepis setigera,USA(TX),L48(N),
AMSE,HESE2,Helenium setigerum,,,
AMMU5,,Amblyopyrum muticum,,,
AMMU5,AETR2,Aegilops tripsacoides,,,
AMVA,,Amblystegium varium,"USA(NJ, NY)",NA(N),
AMVA,AMVAA,Amblystegium varium var. alaskanum,,,
AMVA,AMVAL,Amblystegium varium var. lancifolium,,,
AMVA,AMVAO,Amblystegium varium var. ovatum,,,
AMVA,AMVAP,Amblystegium varium var. parvulum,,,
AMVA,HYVA3,Hygroamblystegium varium,,,
AMAC2,,Ambrosia acanthicarpa,"CAN(AB, MB, SK), USA(AZ, CA, CO, ID, KS, MN, MO, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)",L48(N)CAN(N),WSWS
AMAC2,FRAC2,Franseria acanthicarpa,,,
AMAC2,GAAC2,Gaertneria acanthicarpa,,,
AMAM2,,Ambrosia ambrosioides,"USA(AZ, CA)",L48(N),
AMAM2,FRAM3,Franseria ambrosioides,,,
AMARE,,Ambrosia artemisiifolia var. elatior,"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA(AR, AZ, CA, CO, CT, DE, FL, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",L48(I)HI(I)CAN(N),
AMARE,AMEL2,Ambrosia elatior,,,STATE
AMARP,,Ambrosia artemisiifolia var. paniculata,"USA(AL, FL, GA, KY, LA, MA, ME, MS, NC, NH, NY, SC, TN, TX, VA, VT)",L48(N),
AMARP,AMGL5,Ambrosia glandulosa,,,
AMARP,AMMO2,Ambrosia monophylla,,,
AMARP,AMPA8,Ambrosia paniculata,,,
AMCH4,,Ambrosia chamissonis,"CAN(BC), USA(AK, CA, OR, WA)",L48(N)AK(N)CAN(N),
AMCH4,AMCHB,Ambrosia chamissonis var. bipinnatisecta,,,
AMCH4,FRCH4,Franseria chamissonis,,,
AMCH4,FRCHB,Franseria chamissonis ssp. bipinnatisecta,,,
AMCH4,FRCHB2,Franseria chamissonis var. bipinnatisecta,,,
AMCH5,,Ambrosia chenopodiifolia,USA(CA),L48(N),
AMCH5,FRCH5,Franseria chenopodiifolia,,,
AMCO3,,Ambrosia confertiflora,"USA+(PR), USA(AZ, CA, CO, KS, NM, NV, OK, TN, TX, UT)",L48(N)PR(N),
AMCO3,FRCO3,Franseria confertiflora,,,
AMCO3,FRST3,Franseria strigulosa,,,
AMCO3,GATE6,Gaertneria tenuifolia,,,
AMCO4,,Ambrosia cordifolia,USA(AZ),L48(N),
AMCO4,FRCO4,Franseria cordifolia,,,
AMDE4,,Ambrosia deltoidea,USA(AZ),L48(N),
AMDE4,FRDE3,Franseria deltoidea,,,
AMDU2,,Ambrosia dumosa,"USA(AZ, CA, NV, UT)",L48(N),
AMDU2,FRDU2,Franseria dumosa,,,
AMER,,Ambrosia eriocentra,"USA(AZ, CA, NV, UT)",L48(N),
AMER,FRER2,Franseria eriocentra,,,
AMGR5,,Ambrosia grayi,"USA(CO, KS, NE, NM, OK, TX)",L48(N),"NE&GP, STATE, SWSS, WSWS"
AMGR5,FRTO2,Franseria tomentosa,,,
AMGR5,GAGR7,Gaertneria grayi,,,
AMGR5,GATO2,Gaertnera tomentosa,,,
AMIL2,,Ambrosia ilicifolia,"USA(AZ, CA)",L48(N),
AMIL2,FRIL2,Franseria ilicifolia,,,
AMLI3,,Ambrosia linearis,USA(CO),L48(N),
AMLI3,FRLI4,Franseria linearis,,,
AMPS,,Ambrosia psilostachya,"CAN(AB, BC, MB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KS, LA, MA, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VT, WA, WI, WY)",L48(N)CAN(N),NE&GP
AMPS,AMCA10,Ambrosia californica,,,
AMPS,AMCO5,Ambrosia coronopifolia,,,
AMPS,AMCU2,Ambrosia cumanensis,,,
AMPS,AMPSC,Ambrosia psilostachya var. californica,,,
AMPS,AMPSC2,Ambrosia psilostachya var. coronopifolia,,,
AMPS,AMPSL,Ambrosia psilostachya var. lindheimeriana,,,
AMPS,AMRU2,Ambrosia rugelii,,,
AMPU4,,Ambrosia pumila,USA(CA),L48(N),
AMPU4,FRPU5,Franseria pumila,,,
AMTO3,,Ambrosia tomentosa,"USA(AZ, CO, IA, ID, IL, KS, MO, MT, ND, NE, NM, SD, TX, UT, WI, WY)",L48(N),"STATE, WSWS"
AMTO3,FRDI3,Franseria discolor,,,STATE
AMTO3,FRTO3,Franseria tomentosa,,,
AMTO3,GADI3,Gaertneria discolor,,,
AMTO3,GATO3,Gaertneria tomentosa,,,
AMTRT,,Ambrosia trifida var. texana,"USA(AZ, IL, KS, LA, MA, MO, MS, NM, OK, TX)",L48(N),
AMTRT,AMAP,Ambrosia aptera,,,
AMTRT,AMTRA,Ambrosia trifida var. aptera,,,
AMALC,,Amelanchier alnifolia var. cusickii,"CAN(BC), USA(ID, MT, NV, OR, UT, WA, WY)",L48(N)CAN(N),
AMALC,AMCU,Amelanchier cusickii,,,
AMALC,AMFLC,Amelanchier florida var. cusickii,,,
AMALS,,Amelanchier alnifolia var. semiintegrifolia,"CAN(BC), USA(AK, CA, OR, WA)",L48(N)AK(N)CAN(N),
AMALS,AMALF,Amelanchier alnifolia ssp. florida,,,
AMALS,AMFL,Amelanchier florida,,,
AMARA3,,Amelanchier arborea var. alabamensis,"USA(AL, AR, GA, KY, NC, OK, SC, VA)",L48(N),
AMARA3,AMAL7,Amelanchier alabamensis,,,
AMARA4,,Amelanchier arborea var. arborea,"CAN(NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",L48(N)CAN(N),
AMARA4,AMOB3,Amelanchier oblongifolia,,,
AMBA,,Amelanchier bartramiana,"CAN(LB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(MA, ME, MI, MN, NH, NY, PA, VT, WI, WV)",L48(N)CAN(N)SPM(N),
AMBA,AMOL2,Amelanchier oligocarpa,,,
AMCA4,,Amelanchier canadensis,"CAN(NB, NS, ON, PE, QC), USA(AL, CT, DC, DE, GA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, TN, VA, WV)",L48(N)CAN(N),
AMCA4,AMCAS,Amelanchier canadensis var. subintegra,,,
AMCA4,AMLU3,Amelanchier lucida,,,
AMHU2,,Amelanchier humilis,"CAN(MB, ON, QC, SK), USA(IA, IL, IN, KS, MD, ME, MI, MN, MO, MT, ND, NE, NJ, NY, OH, PA, SD, VT, WI, WV)",L48(N)CAN(N),
AMHU2,AMHUC,Amelanchier humilis var. campestris,,,
AMHU2,AMHUC2,Amelanchier humilis var. compacta,,,
AMHU2,AMHUE,Amelanchier humilis var. exserrata,,,
AMHU2,AMMU4,Amelanchier mucronata,,,
AMHU2,AMST4,Amelanchier stolonifera,,,
AMIN2,,Amelanchier interior,"CAN(NB, NF, NS, ON, PE, QC), USA(IA, IL, ME, MI, MN, NY, OH, SD, VT, WI)",L48(N)CAN(N),
AMIN2,AMWI,Amelanchier wiegandii,,,
AMOV2,,Amelanchier ovalis,,,
AMOV2,AMVU2,Amelanchier vulgaris,,,
AMPA2,,Amelanchier pallida,"USA(CA, ID, NV, OR, WA)",L48(N),
AMPA2,AMALP,Amelanchier alnifolia var. pallida,,,
AMPA2,AMFLG,Amelanchier florida var. gracilis,,,
